product_id,product_name,category,subcategory,sku,price,cost,stock_quantity,status,created_at,updated_at,_loaded_at
PROD-0001,YellowGreen Headphones,Electronics,Headphones,SKU-FY264,53.67,26.24,239,discontinued,2025-06-04T13:12:35.009540,2026-04-28T19:38:11.124390,2026-04-28T19:39:28.354468
PROD-0002,MediumTurquoise Phone Case,Electronics,Phone Case,SKU-AJ613,102.25,60.12,349,active,2025-04-15T09:03:46.577233,2026-04-28T19:37:44.671685,2026-04-28T19:39:28.354567
PROD-0003,DarkViolet USB Cable,Electronics,USB Cable,SKU-KV385,58.31,29.32,336,active,2026-04-14T13:17:25.045887,2026-04-28T19:38:43.075920,2026-04-28T19:39:28.354662
PROD-0004,LightCoral Power Bank,Electronics,Power Bank,SKU-IJ346,68.16,34.71,95,active,2024-10-21T02:13:24.478416,2026-04-28T19:38:51.331042,2026-04-28T19:39:28.354755
PROD-0005,Magenta Smart Watch,Electronics,Smart Watch,SKU-BK840,180.41,110.81,258,active,2025-04-12T19:29:48.497514,2026-04-28T19:37:08.272243,2026-04-28T19:39:28.354929
PROD-0006,AntiqueWhite T-Shirt,Clothing,T-Shirt,SKU-ZY869,163.11,86.82,33,active,2024-06-13T01:41:41.358930,2026-04-28T19:36:37.927163,2026-04-28T19:39:28.355038
PROD-0007,Orange Jeans,Clothing,Jeans,SKU-FQ831,125.84,61.76,297,active,2024-09-16T13:32:51.408200,2026-04-28T19:38:18.140176,2026-04-28T19:39:28.355136
PROD-0008,Bisque Jacket,Clothing,Jacket,SKU-HD016,151.83,92.47,265,active,2025-07-19T10:34:58.570350,2026-04-28T19:37:18.264474,2026-04-28T19:39:28.355233
PROD-0009,LightYellow Sneakers,Clothing,Sneakers,SKU-DD915,216.81,109.4,382,active,2025-02-20T05:18:51.399174,2026-04-28T19:36:59.894057,2026-04-28T19:39:28.355330
PROD-0010,Turquoise Hat,Clothing,Hat,SKU-PA397,292.6,146.54,211,active,2025-07-30T07:58:41.126039,2026-04-28T19:36:37.053851,2026-04-28T19:39:28.355425
PROD-0011,NavajoWhite Coffee Mug,Home & Kitchen,Coffee Mug,SKU-BF344,244.3,138.98,393,active,2025-03-16T05:22:19.717630,2026-04-28T19:38:15.790428,2026-04-28T19:39:28.355519
PROD-0012,OrangeRed Cutting Board,Home & Kitchen,Cutting Board,SKU-IU207,171.45,87.8,340,active,2025-02-16T21:09:48.921400,2026-04-28T19:39:03.342935,2026-04-28T19:39:28.355612
PROD-0013,DarkSeaGreen Water Bottle,Home & Kitchen,Water Bottle,SKU-BJ925,96.05,56.82,480,active,2025-12-02T17:56:39.545788,2026-04-28T19:38:42.255343,2026-04-28T19:39:28.355704
PROD-0014,SlateGray Candle,Home & Kitchen,Candle,SKU-KK760,131.25,75.23,29,active,2025-09-21T03:32:59.095124,2026-04-28T19:38:16.323675,2026-04-28T19:39:28.355796
PROD-0015,LightGray Throw Pillow,Home & Kitchen,Throw Pillow,SKU-RI068,133.87,94.37,101,active,2024-11-06T07:23:30.898948,2026-04-28T19:39:22.653455,2026-04-28T19:39:28.355982
PROD-0016,Gray Fiction Novel,Books,Fiction Novel,SKU-FI373,225.8,138.18,480,active,2026-03-26T08:32:53.138065,2026-04-28T19:37:24.556027,2026-04-28T19:39:28.356095
PROD-0017,FloralWhite Cookbook,Books,Cookbook,SKU-GD356,169.7,100.26,486,active,2025-05-31T05:16:25.669079,2026-04-28T19:36:42.247149,2026-04-28T19:39:28.356211
PROD-0018,Aqua Self-Help Book,Books,Self-Help Book,SKU-FM321,11.93,7.1,251,active,2024-08-25T16:28:43.205978,2026-04-28T19:37:36.369319,2026-04-28T19:39:28.356308
PROD-0019,Indigo Tech Guide,Books,Tech Guide,SKU-QU638,188.73,108.79,492,active,2024-08-03T00:32:16.208918,2026-04-28T19:37:57.234655,2026-04-28T19:39:28.356402
PROD-0020,MediumTurquoise Biography,Books,Biography,SKU-NC613,103.41,48.52,405,active,2024-06-21T15:21:27.960746,2026-04-28T19:38:28.217705,2026-04-28T19:39:28.356496
PROD-0021,LightYellow Yoga Mat,Sports,Yoga Mat,SKU-DU449,228.95,144.26,225,active,2026-03-31T12:03:00.108834,2026-04-28T19:39:03.620436,2026-04-28T19:39:28.356590
PROD-0022,MediumBlue Resistance Bands,Sports,Resistance Bands,SKU-SG026,265.22,132.92,402,active,2024-05-29T18:00:46.869374,2026-04-28T19:38:55.143038,2026-04-28T19:39:28.356684
PROD-0023,Plum Running Socks,Sports,Running Socks,SKU-PC440,162.75,108.17,483,active,2024-09-25T00:09:58.331959,2026-04-28T19:37:13.022668,2026-04-28T19:39:28.356777
PROD-0024,DarkKhaki Water Bottle,Sports,Water Bottle,SKU-GJ678,172.11,100.58,176,discontinued,2026-02-18T10:52:06.087781,2026-04-28T19:38:41.364963,2026-04-28T19:39:28.356870
PROD-0025,SpringGreen Jump Rope,Sports,Jump Rope,SKU-EA822,27.55,17.74,277,active,2025-12-28T12:38:41.907794,2026-04-28T19:38:23.031244,2026-04-28T19:39:28.356962
